"S:t Eriks Påskale 2014","S:t Eriks Bryggeri","Pale Ale - American",5.5,0,,,,,,,,3.5,"2015-03-12 22:51:41",https://untappd.com/c/162201917,https://untappd.com/beer/602042,https://untappd.com/brewery/16673,Sweden,Arlandastad,
"S:t Eriks & Mathias Dahlgren Winter DIPA","S:t Eriks Bryggeri","IPA - Imperial / Double",8,0,,,,,,,,3,"2015-03-12 22:54:20",https://untappd.com/c/162202769,https://untappd.com/beer/846024,https://untappd.com/brewery/16673,Sweden,Arlandastad,
"S:t Eriks & Mathias Dahlgren Julporter EKO 2013","S:t Eriks Bryggeri","Porter - Other",5.9,0,,,,,,,,4,"2015-03-12 22:54:31",https://untappd.com/c/162202845,https://untappd.com/beer/501596,https://untappd.com/brewery/16673,Sweden,Arlandastad,
"Amber Ale","Hilliard's Beer","Red Ale - American Amber / Red",5.5,60,,,,,,,,3,"2015-03-12 22:58:57",https://untappd.com/c/162204449,https://untappd.com/beer/187768,https://untappd.com/brewery/19648,"United States",Seattle,WA
"Hop Yard","Nils Oscar","IPA - American",7.3,0,,,,,,,,3.5,"2015-03-12 22:59:57",https://untappd.com/c/162204753,https://untappd.com/beer/22580,https://untappd.com/brewery/2709,Sweden,Nyköping,
Kalasjulöl,"Nils Oscar","Lager - Winter",5.2,0,,,,,,,,3.5,"2015-03-12 23:01:30",https://untappd.com/c/162205279,https://untappd.com/beer/99943,https://untappd.com/brewery/2709,Sweden,Nyköping,
"God Lager","Nils Oscar","Lager - Dortmunder / Export",5.3,0,,,,,,,,2.5,"2015-03-12 23:02:09",https://untappd.com/c/162205514,https://untappd.com/beer/7816,https://untappd.com/brewery/2709,Sweden,Nyköping,
"Winter Edition (2014)","Nils Oscar","Scottish Ale",8.6,0,,,,,,,,3,"2015-03-12 23:02:54",https://untappd.com/c/162205799,https://untappd.com/beer/889086,https://untappd.com/brewery/2709,Sweden,Nyköping,
"Julöl (2012)","Nils Oscar","Winter Ale",7.7,0,,,,,,,,4,"2015-03-12 23:03:29",https://untappd.com/c/162205993,https://untappd.com/beer/239736,https://untappd.com/brewery/2709,Sweden,Nyköping,
"Samuel Adams Winter Lager","Boston Beer Company (Samuel Adams)","Lager - Winter",5.6,22,,,,,,,,3,"2015-03-12 23:05:46",https://untappd.com/c/162206854,https://untappd.com/beer/3919,https://untappd.com/brewery/157,"United States",Boston,MA
"Samuel Adams Boston Lager","Boston Beer Company (Samuel Adams)","Lager -  Vienna / Amber",4.7,30,,,,,,,,3,"2015-03-12 23:06:18",https://untappd.com/c/162207040,https://untappd.com/beer/3914,https://untappd.com/brewery/157,"United States",Boston,MA
"Pabst Blue Ribbon","Pabst Brewing Company","Lager - North American Adjunct",5,0,,,,,,,,2.5,"2015-03-12 23:15:08",https://untappd.com/c/162210305,https://untappd.com/beer/3883,https://untappd.com/brewery/963,"United States",Woodridge,IL
"Guinness Draught",Guinness,"Stout - Irish Dry",4.3,45,,,,,,,,3,"2015-03-12 23:15:24",https://untappd.com/c/162210411,https://untappd.com/beer/4473,https://untappd.com/brewery/49,Ireland,"Dublin 8",Ireland
"Dale's Pale Ale","Oskar Blues Brewery","Pale Ale - American",6.5,65,,,,,,,,2.5,"2015-03-12 23:15:42",https://untappd.com/c/162210527,https://untappd.com/beer/10759,https://untappd.com/brewery/956,"United States",Longmont,CO
"Peter, Pale and Mary",Mikkeller,"Pale Ale - American",4.6,0,,,,,,,,3.5,"2015-03-12 23:17:07",https://untappd.com/c/162211081,https://untappd.com/beer/573270,https://untappd.com/brewery/2813,Denmark,Copenhagen,
"Cream Stout","St. Peter’s Brewery Co.","Stout - Milk / Sweet",6.5,0,,,,,,,,3,"2015-03-12 23:17:36",https://untappd.com/c/162211303,https://untappd.com/beer/797,https://untappd.com/brewery/2855,England,"St Peter South Elmham","Suffolk, NR35 1NQ"
"Ruedrich's Red Seal Ale","North Coast Brewing Company","Red Ale - American Amber / Red",5.4,42,,,,,,,,3.5,"2015-03-12 23:19:36",https://untappd.com/c/162212089,https://untappd.com/beer/5112,https://untappd.com/brewery/919,"United States","Fort Bragg",CA
"US Red Ale",Stallhagen,"Red Ale - American Amber / Red",6,0,,,,,,,,3,"2015-03-12 23:20:13",https://untappd.com/c/162212330,https://untappd.com/beer/88152,https://untappd.com/brewery/4099,Finland,Finström,
Honungsöl,Stallhagen,"Herbed / Spiced Beer",4.7,0,,,,,,,,2.5,"2015-03-12 23:20:33",https://untappd.com/c/162212451,https://untappd.com/beer/169839,https://untappd.com/brewery/4099,Finland,Finström,
IPA,"Lagunitas Brewing Company","IPA - American",6.2,46,,,,,,,,3.5,"2015-03-12 23:21:18",https://untappd.com/c/162212716,https://untappd.com/beer/4509,https://untappd.com/brewery/765,"United States",Petaluma,CA
"All Day IPA","Founders Brewing Co.","IPA - Session / India Session Ale",4.7,42,,,,,,,,3.5,"2015-03-13 18:26:38",https://untappd.com/c/162417593,https://untappd.com/beer/36834,https://untappd.com/brewery/549,"United States","Grand Rapids",MI
Fathom,"Ballast Point Brewing & Spirits","Lager - IPL (India Pale Lager)",7,70,,,,,,,,3.5,"2015-03-14 19:23:59",https://untappd.com/c/162904028,https://untappd.com/beer/6609,https://untappd.com/brewery/68,"United States","San Diego",CA
"White IPA","Coppersmith's Brewery","IPA - White",7,75,,,,,,,,2.5,"2015-03-14 21:35:08",https://untappd.com/c/162993913,https://untappd.com/beer/822910,https://untappd.com/brewery/140670,Sweden,Västerås,
"American Pale Ale","Poppels Bryggeri","Pale Ale - American",5.4,30,,,,,,,,3.5,"2015-03-15 18:46:08",https://untappd.com/c/163425242,https://untappd.com/beer/446330,https://untappd.com/brewery/46930,Sweden,Mölnlycke,
"Pale Ale","Electric Nurse","Pale Ale - American",4.6,0,"Habil matöl, lite för platt för att nå ändå fram.",,,,,,,3.5,"2015-03-16 21:13:45",https://untappd.com/c/163712380,https://untappd.com/beer/356829,https://untappd.com/brewery/31642,Sweden,,Landvetter
DIPA,"Electric Nurse","IPA - Imperial / Double",8,0,,,,,,,,3.5,"2015-03-17 18:21:05",https://untappd.com/c/163877104,https://untappd.com/beer/360011,https://untappd.com/brewery/31642,Sweden,,Landvetter
"Bridge IPA","Oppigårds Bryggeri","IPA - American",7,70,"Really good, well hopped, well balanced.",,,,,,,4,"2015-03-17 18:25:20",https://untappd.com/c/163877764,https://untappd.com/beer/981235,https://untappd.com/brewery/4920,Sweden,Hedemora,
CapDog,BrewDog,"IPA - Black / Cascadian Dark Ale",9,100,,,,,,,,4,"2015-03-18 19:58:04",https://untappd.com/c/164194492,https://untappd.com/beer/816127,https://untappd.com/brewery/241,Scotland,Ellon,"Aberdeenshire, AB41 8BX"
"Vieille Ville Saison","Birrificio Del Ducato","Saison / Farmhouse Ale",6,0,,,,,,,,3,"2015-03-18 22:22:14",https://untappd.com/c/164219387,https://untappd.com/beer/236465,https://untappd.com/brewery/2729,Italy,"Roncole Verdi",PR
"Toasted Oak IPA","Innis & Gunn","IPA - English",5.6,0,Boring..,,,,,,,2,"2015-03-21 11:52:36",https://untappd.com/c/165046721,https://untappd.com/beer/451758,https://untappd.com/brewery/1673,Scotland,Edinburgh,"EH3 7TH"
"Brooklyn Lager","Brooklyn Brewery","Lager -  Vienna / Amber",5.2,33,,,,,,,,3,"2015-03-21 16:54:16",https://untappd.com/c/165078818,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States",Brooklyn,NY
"Pistonhead Kustom Lager","Brutal Brewing","Lager - Pale",4.9,33,,,,,,,,2.5,"2015-03-21 16:55:50",https://untappd.com/c/165079214,https://untappd.com/beer/82286,https://untappd.com/brewery/16622,Sweden,"143 03 Vårby",
"Punk IPA",BrewDog,"IPA - American",5.6,45,,,,,,,,3.5,"2015-03-21 17:24:45",https://untappd.com/c/165087096,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,"Aberdeenshire, AB41 8BX"
"Rocket I.P.A","Adelsö Bryggeri","IPA - American",6,120,"Dålig batch?",,,,,,,2.5,"2015-03-21 19:05:17",https://untappd.com/c/165130608,https://untappd.com/beer/409926,https://untappd.com/brewery/72354,Sweden,Adelsö,
"Jack Hammer",BrewDog,"IPA - American",7.2,200,,,,,,,,4.5,"2015-03-21 20:39:14",https://untappd.com/c/165189753,https://untappd.com/beer/196338,https://untappd.com/brewery/241,Scotland,Ellon,"Aberdeenshire, AB41 8BX"
"Endless Vacation","CAP Brewery","Pale Ale - American",5.3,0,,,,,,,,4,"2015-03-21 20:55:34",https://untappd.com/c/165201067,https://untappd.com/beer/378559,https://untappd.com/brewery/61005,Sweden,Stockholm,Sweden
HopDevil,"Victory Brewing Company","IPA - American",6.7,50,,,,,,,,4,"2015-03-21 22:23:45",https://untappd.com/c/165266585,https://untappd.com/beer/3832,https://untappd.com/brewery/1326,"United States",Downingtown,PA
DirtWolf,"Victory Brewing Company","IPA - Imperial / Double",8.7,65,,,,,,,,4,"2015-03-21 22:24:34",https://untappd.com/c/165267182,https://untappd.com/beer/424316,https://untappd.com/brewery/1326,"United States",Downingtown,PA
"Organic IPA","Napa Smith Brewery","IPA - American",7.1,75,,,,,,,,2.5,"2015-03-23 18:42:30",https://untappd.com/c/165947656,https://untappd.com/beer/7801,https://untappd.com/brewery/1595,"United States"," Napa",CA
"Imperial Stout","Founders Brewing Co.","Stout - Russian Imperial",10.5,75,,,,,,,,4,"2015-03-23 21:13:39",https://untappd.com/c/165964664,https://untappd.com/beer/4586,https://untappd.com/brewery/549,"United States","Grand Rapids",MI
"Hop & Liefde","Brouwerij De Molen","Pale Ale - American",4.8,57,,,,,,,,3,"2015-03-24 23:10:47",https://untappd.com/c/166159312,https://untappd.com/beer/462734,https://untappd.com/brewery/3367,Netherlands,Bodegraven,Zuid-Holland
"Armageddon IPA","Epic Brewing Company","IPA - American",6.66,66,,,,,,,,3.5,"2015-03-26 21:28:41",https://untappd.com/c/166553967,https://untappd.com/beer/8292,https://untappd.com/brewery/506,"New Zealand",Auckland,"North Island"
"Sitting Bulldog IPA","Gotlands Bryggeri","IPA - American",6.4,45,,,,,,,,3,"2015-03-26 21:29:33",https://untappd.com/c/166554120,https://untappd.com/beer/31794,https://untappd.com/brewery/3331,Sweden,Visby,
Lageröl,Rådanäs,"Lager - Dortmunder / Export",5.4,35,"Habil, klassisk, lager.",,,,,,,3,"2015-03-27 18:10:14",https://untappd.com/c/166795144,https://untappd.com/beer/535474,https://untappd.com/brewery/91023,Sweden,Mölnlycke,"Västra Götaland"
"East Coast Pale Ale","Sigtuna Brygghus","Pale Ale - American",5,0,"Saknar bett.",,,,,,,3,"2015-03-27 20:17:08",https://untappd.com/c/166824919,https://untappd.com/beer/212724,https://untappd.com/brewery/2823,Sweden,Arlandastad,
IPA,Rådanäs,"IPA - American",6.6,65,"Rolig och lite oväntade humletoner.",,,,,,,3.5,"2015-03-27 20:17:56",https://untappd.com/c/166825173,https://untappd.com/beer/587446,https://untappd.com/brewery/91023,Sweden,Mölnlycke,"Västra Götaland"
"Culebra DIPA",Brewski,"IPA - Imperial / Double",8,0,"Nice, but not the best dipa around..",,,,,,,4,"2015-03-28 21:23:34",https://untappd.com/c/167347159,https://untappd.com/beer/913475,https://untappd.com/brewery/167487,Sweden,Helsingborg,
"Amerikansk Bitter",Rådanäs,"Pale Ale - American",4.5,20,"Definitionen av en sommaröl.",,,,,,,3.5,"2015-03-30 20:18:37",https://untappd.com/c/168082006,https://untappd.com/beer/503677,https://untappd.com/brewery/91023,Sweden,Mölnlycke,"Västra Götaland"
"Fat Tire","New Belgium Brewing Company","Red Ale - American Amber / Red",5.2,22,,,,,,,,3,"2015-04-01 17:25:45",https://untappd.com/c/168453250,https://untappd.com/beer/6887,https://untappd.com/brewery/905,"United States","Fort Collins",CO
"Dead Pony Club",BrewDog,"Pale Ale - American",3.8,25,,,,,,,,3.5,"2015-04-01 19:10:36",https://untappd.com/c/168463182,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland,Ellon,"Aberdeenshire, AB41 8BX"
"Hardcore IPA",BrewDog,"IPA - Imperial / Double",9.2,150,"Big D, dipa. Lovely.",,,,,,,4.5,"2015-04-01 20:35:17",https://untappd.com/c/168475122,https://untappd.com/beer/5707,https://untappd.com/brewery/241,Scotland,Ellon,"Aberdeenshire, AB41 8BX"
"India Pale Folk Ale","Train Station Brewery","Pale Ale - American",3.5,0,,,,,,,,3,"2015-04-02 21:02:13",https://untappd.com/c/168729313,https://untappd.com/beer/895606,https://untappd.com/brewery/29556,Sweden,Knivsta,
"Dubbel IPA","Eskilstuna Ölkultur","IPA - Imperial / Double",8.7,100,,,,,,,,4,"2015-04-02 21:47:01",https://untappd.com/c/168740564,https://untappd.com/beer/46095,https://untappd.com/brewery/5752,Sweden,Eskilstuna,Södermanland
"Shipfaced IPA","Train Station Brewery","IPA - American",7,0,,,,,,,,3.5,"2015-04-02 23:47:06",https://untappd.com/c/168776037,https://untappd.com/beer/712308,https://untappd.com/brewery/29556,Sweden,Knivsta,
"Centennial IPA","Founders Brewing Co.","IPA - American",7.2,65,,,,,,,,4,"2015-04-03 11:03:16",https://untappd.com/c/168980322,https://untappd.com/beer/1456,https://untappd.com/brewery/549,"United States","Grand Rapids",MI
"Mountain Livin' Pale Ale","Crazy Mountain Brewing Company","Pale Ale - American",5.7,0,,,,,,,,3.5,"2015-04-03 11:04:01",https://untappd.com/c/168980342,https://untappd.com/beer/26568,https://untappd.com/brewery/4948,"United States",Edwards,CO
"Herr Hemlig IPA",Brewski,"IPA - American",5.5,0,"I det närmaste en perfekta IPA. Kärlek.",,,,,,,5,"2015-04-03 17:34:04",https://untappd.com/c/169004812,https://untappd.com/beer/872918,https://untappd.com/brewery/167487,Sweden,Helsingborg,
